<<<<<<< HEAD
rank,점수
2,51
2,56
1,46
2,53
3,72
3,69
1,48
2,58
1,49
1,49
2,51
1,44
1,43
2,53
1,48
2,53
2,54
2,52
2,56
1,48
2,56
3,62
2,51
2,58
1,46
1,41
2,51
1,48
2,51
1,49
2,56
3,60
2,51
3,61
1,49
3,66
2,57
2,57
1,47
3,63
2,56
2,53
2,54
1,45
3,63
2,51
2,53
2,50
1,44
2,50
1,49
2,53
2,53
2,51
2,59
2,54
2,53
2,57
2,53
3,66
2,52
2,51
2,54
3,72
2,59
2,58
2,55
2,59
2,52
1,47
1,45
3,61
3,61
1,46
2,59
2,56
2,54
2,50
2,55
1,43
2,53
1,48
1,45
2,58
1,46
3,61
2,58
1,48
2,59
2,53
1,43
2,54
3,63
2,59
2,58
2,53
2,57
1,46
2,53
2,51
1,46
2,51
2,51
1,43
1,41
1,41
2,58
3,66
2,51
2,59
2,56
1,49
1,45
3,63
2,51
2,53
2,53
2,55
2,53
2,51
3,61
1,47
3,60
1,43
3,64
2,52
2,57
3,61
1,43
2,53
2,56
3,61
1,48
2,55
2,58
3,60
3,61
1,48
2,54
2,53
2,54
2,56
3,61
1,48
1,45
1,48
3,60
2,56
2,50
2,54
1,45
1,48
1,46
2,54
1,48
2,51
3,63
3,61
2,52
2,58
2,53
1,49
2,53
2,53
1,48
3,70
3,63
2,55
2,58
2,55
2,58
3,61
1,46
2,55
1,46
1,46
3,63
2,53
2,50
2,56
1,47
1,49
2,53
3,60
1,49
2,58
2,53
2,50
2,54
2,58
3,63
2,50
1,44
1,48
1,45
2,58
3,60
2,52
2,54
2,51
2,56
2,52
2,59
2,51
2,56
1,46
3,61
2,56
2,55
2,58
2,53
2,51
3,61
2,52
1,40
2,57
1,42
2,57
2,54
1,49
2,59
3,71
2,50
2,54
1,45
3,67
1,34
1,45
3,61
3,67
2,52
3,64
2,52
1,49
1,45
1,49
2,57
2,59
2,57
3,71
2,56
2,55
3,60
1,49
2,56
2,54
3,64
2,50
2,53
2,55
2,57
2,55
1,47
2,52
1,45
3,65
2,53
2,56
2,59
3,61
2,51
1,49
2,54
2,55
2,54
2,53
2,54
2,54
2,52
1,45
2,53
1,45
1,46
2,55
1,49
1,45
2,56
2,56
2,58
2,58
2,50
3,69
3,61
3,60
2,50
3,61
2,56
2,59
2,59
1,49
2,50
2,54
2,51
1,47
3,69
2,56
2,50
1,43
2,50
1,48
3,60
2,52
2,51
2,51
2,52
1,43
2,53
2,50
2,51
1,48
2,56
2,50
1,41
2,56
3,60
2,51
2,54
2,56
1,44
2,55
2,58
1,45
2,54
1,46
2,54
1,45
3,61
3,61
2,57
2,57
1,44
1,45
2,50
1,49
1,47
2,52
1,48
2,50
1,49
2,58
2,50
2,58
1,49
1,47
1,46
1,46
2,55
1,48
1,47
3,62
3,64
2,58
1,47
1,48
3,64
2,57
2,58
1,47
2,55
2,57
2,50
2,55
1,49
2,54
2,51
2,59
2,50
2,51
1,45
2,51
2,54
1,36
2,54
2,54
2,58
1,47
1,48
1,44
2,58
2,58
2,59
3,64
2,57
1,48
3,63
2,56
3,62
2,51
1,43
2,58
2,55
2,59
3,66
2,56
1,48
2,59
2,55
1,48
2,57
3,61
1,46
2,54
1,46
2,51
2,50
2,53
2,53
1,48
2,56
1,47
2,58
3,72
3,61
2,52
2,53
1,43
2,55
1,46
2,50
2,51
1,48
2,56
2,59
1,42
3,64
3,64
1,45
3,69
1,47
3,61
1,48
2,50
1,42
1,42
1,48
2,55
1,48
2,55
3,61
3,66
1,46
2,58
2,53
1,44
2,52
1,41
1,48
2,51
2,58
1,46
2,56
2,51
3,72
1,45
1,46
2,53
1,45
3,66
1,46
2,51
1,41
2,50
2,57
1,48
2,51
1,45
2,53
1,41
2,51
1,46
1,44
2,51
1,45
3,65
2,51
2,51
2,50
2,58
2,55
2,51
2,53
1,47
2,51
2,59
3,61
2,50
2,54
2,56
2,57
2,53
2,54
1,45
1,48
2,54
2,53
2,54
3,62
2,56
1,49
2,53
2,51
1,47
1,49
1,46
2,51
1,46
1,49
3,69
2,54
2,59
2,50
1,48
3,61
1,45
2,56
3,71
3,63
3,66
3,69
1,45
2,51
2,55
3,60
2,56
1,44
2,55
1,43
3,61
2,55
2,54
2,54
1,39
1,49
1,43
1,47
2,59
1,47
2,59
1,34
2,54
2,52
1,49
3,63
1,49
2,59
3,67
3,61
2,53
1,46
1,47
2,54
3,63
2,50
2,57
2,56
2,58
1,49
3,64
2,56
2,54
1,44
1,47
3,74
3,61
1,49
3,64
3,66
1,49
2,51
1,36
2,57
2,54
1,46
1,40
1,47
2,52
2,53
2,58
2,50
2,52
3,61
2,51
1,49
1,40
2,54
2,58
1,41
1,49
1,48
1,44
1,46
2,56
2,56
2,51
1,46
1,44
1,48
1,36
2,59
